,APT_ICAO,YEAR,MONTH_NUM,FLT_MEAN,FLT_MEAN_DEP,FLT_MEAN_ARR
365,LPPT,2023,6,658.2666666666667,329.3,328.96666666666664
366,LPPT,2023,7,673.0967741935484,336.3225806451613,336.7741935483871
367,LPPT,2023,8,676.6451612903226,338.7741935483871,337.8709677419355
368,LPPT,2023,9,673.2,336.6666666666667,336.53333333333336
369,LPPT,2023,10,657.3225806451613,328.5483870967742,328.7741935483871
370,LPPT,2023,11,582.3,291.1666666666667,291.1333333333333
371,LPPT,2023,12,586.3870967741935,293.16129032258067,293.2258064516129
372,LPPT,2024,1,533.6129032258065,266.93548387096774,266.6774193548387
373,LPPT,2024,2,567.9310344827586,283.86206896551727,284.0689655172414
374,LPPT,2024,3,600.9032258064516,300.48387096774195,300.4193548387097
375,LPPT,2024,4,641.9666666666667,321.03333333333336,320.93333333333334
376,LPPT,2024,5,650.1290322580645,325.16129032258067,324.96774193548384
377,LPPT,2024,6,663.3666666666667,331.76666666666665,331.6
378,LPPT,2024,7,675.8387096774194,337.8709677419355,337.96774193548384
379,LPPT,2024,8,678.0322580645161,339.19354838709677,338.83870967741933
380,LPPT,2024,9,679.0333333333333,339.23333333333335,339.8
381,LPPT,2024,10,653.1935483870968,326.7741935483871,326.4193548387097
382,LPPT,2024,11,582.1,291.43333333333334,290.6666666666667
383,LPPT,2024,12,586.6774193548387,293.19354838709677,293.48387096774195
384,LSZH,2023,1,540.6451612903226,270.1290322580645,270.51612903225805
385,LSZH,2023,2,552.4642857142857,276.32142857142856,276.14285714285717
386,LSZH,2023,3,588.9677419354839,294.48387096774195,294.48387096774195
387,LSZH,2023,4,674.4333333333333,337.1666666666667,337.26666666666665
388,LSZH,2023,5,702.0,350.61290322580646,351.38709677419354
389,LSZH,2023,6,733.9,366.7,367.2
390,LSZH,2023,7,749.4193548387096,374.93548387096774,374.48387096774195
391,LSZH,2023,8,734.741935483871,367.0967741935484,367.64516129032256
392,LSZH,2023,9,759.1666666666666,379.53333333333336,379.6333333333333
393,LSZH,2023,10,742.6451612903226,371.16129032258067,371.48387096774195
394,LSZH,2023,11,601.0666666666667,300.6666666666667,300.4
395,LSZH,2023,12,602.9677419354839,301.741935483871,301.2258064516129
